IPMC |  All Questions ,,,,,,,,,,,,,,,
No.,Questions,Answer A,Answer B,Answer C,Answer Correct,Feedback,Questions Ar,Answer A Ar,Answer B Ar,Answer C Ar,Answer Correct Ar,Chapter,Process Group,Free Quiz,Exam No.
526,"You are a project manager in a critical project for your organization. You have a project with a budget of 200,000 SR. The duration of the project is 30 months, and the work is evenly distributed throughout the duration. After 15 months, you review the project's progress and you find that 60% of the work is completed and 110,000 SR has been spent. Determine the estimate at completion assuming the future cost performance is the same as the past cost performance. ","100,000 SR ","190,000 SR ","120,000 SR ","183,486 SR "," Due to that future cost performance is same as the past cost performance we should apply the following formula: EAC=BAC/CPI BAC=200.000 EV=200.000.60%=120.000 CPI=EV/AC= 120000/110000=1.09 EAC=200000/1.09= 183,486 SP. [PMBOK 6th edition. Page 267].",,,,,,Cost,Monitor & Control,,5
262,"The procurement manager of a civil project has emailed the project manager stating that the cost of the cement may exceed the amount budgeted. The project must have a cement delivery in the next two weeks. What should the project manager do first? 
","Request a quote from another supplier. 
","Negotiate with the item supplier. 
","Contact the project sponsor to get more money. 
","Perform the risk response. 
","The risk already identified and analyzed. The next step is to Perform the risk response. Option ( Request a quote from another supplier and Negotiate with the item supplier Related to The procurement manager ) [PMBOK 6th edition, Page.449]",,,,,,Risk,Executing,,4
530,You have been asked to begin writing the project scope management plan. You are gathering the necessary documents to begin this process. Which of the following is required to do this? ,Focus groups ,Risk management plan ,Requirement traceability chart ,Quality management plan ,"The way the project and product scope will be managed can have an influence and will be needed when developing the scope management plan. [PMBOK 6th edition, Page 135 ].",,,,,,Scope,Planning,,5
531,The project has reached a stage where work is being done in seven countries. Project team members need to know in which currency they are to report their cost data. Which of the following should they reference? ,Cost baseline ,Cost estimates ,Cost breakdown structure ,Cost management plan ," The cost management plan provides information and guidance on how the project manager and project team are to plan, structure, account, and control the project costs. The contents of the plan vary based on the needs of the particular project. The project in the scenario is operating in many countries and currencies. To align all the project documents and communications, It is important for this project's cost management plan to detail the currencies to use or not use, when, in which circumstances, and other pertinent requirements of the project. The plan is the go-to location for the team to use the proper cost denotations. [PMBOK 6th edition, Page 238] ",,,,,,Cost,Planning,,5
528,"You, as a project manager, are in the process of midway review at the end of the first year of a $50K project. The earned value analysis shows that the PV is $25K, the EV is $20K, and the AC is $30K. What can be determined from these figures? ",The project should be terminated as there is no solution to fix it. ,The project is under budget but ahead of schedule. ,"The project is going normally, and it will be managed and closed normally. ",The project is going slower than planned. ," EV < AC & PV so the Project is going slower than planned = Over Budget and Behind Schedule. [PMBOK 6th edition. Pages 263, 267].",,,,,,Cost,Monitor & Control,,3
532,"As you project manager, you have submitted the cost baseline to the sponsor. After a review, the sponsor tells you that the amount you have estimated for a certain month is more than the funds the sponsor can disburse you for that month. What do you think the sponsor will advise you to do next? ",To remove some of the work scope for that month ,To motivate the project team to do the work of that month without being fully paid for it ,To reduce the cost estimates of the activities for that month ,To reschedule the work of that month , Rescheduling work for the period where funds are lower than estimated will be required in this situation. Removal of scope is not a correct option. It will be tough to motivate people to work without being paid and this may not be legally ok also. Reducing the estimates is also not an option as this will mean that the original estimates were incorrect. The chosen option will require a change request which will impact the cost baseline. [PMBOK 6th edition. Page 269].,,,,,,Cost,Monitor & Control,,4
286,"You are the project manager of a large communication project. During the implementation phase, you sign a contract to rent an additional server from a local company because of the possibility that the main server may fail due to constant, local-area electrical outages. As a project manager, what strategy are you using? 
","Transfer 
","Avoid 
","Escalate 
","Mitigate 
","In risk mitigation, the action is taken to reduce the probability of occurrence and/or impact of a threat. the project manager wants to reduce the probability and impact by renting the generator. [PMBOK 6th edition, Page 443] ",,,,,,Risk,Executing,,5
533,"You are managing a project which has BAC 90.000 $ and supposes to finish in 9 months. Five months have passed; however, four months of the work have been completed. To date, you have spent 60% of the budget. What are the EV, CPI, and SPI? ","EV= 30,000 & CPI = 0.74 & SPI = 0.9 ","EV= 35,000 & CPI = 0.74 & SPI = 0.9 ","EV= 35,000 & CPI = 0.74 & SPI = 2 ","EV= 40,000 & CR = 0.74 & SPI = 0.8 ","Explanation EV= 4/9'90,000 = 40,000 & AC=0.6 '90,000 =54000 &PV=5/9.90,000=50,000 & CR=40000/54000=0.74 & SPI = 40,000/50,000=0.8. [PMBOK 6th edition. Page 267].",,,,,,Cost,Monitor & Control,,5
351,A project manager has just learned that his project's sole equipment supplier has gone out of business. It is an unanticipated risk and will cause a delay in the project until a new vendor can be selected and contracts put in place. What do the PM do?,Continue working on non-critical path tasks.,Put out into RFP for new vendors.,Consult with legal counsel.,Notify the project stakeholders. ,"It?s an unanticipated risk, and will cause a delay, so the best thing to do as a project manager is Notify the project stakeholders (its workaround action to deal with unanticipated risk) [PMBOK 6th edition, Page.443]",,,,,,Risk,Executing,,4
466,"During the middle of the project, the project manager has been exposed to an accident, and a new project manager has been assigned. What should the new project manager do next? ",Update Organizational process assets ( OPA ) ,Update resource calendar ,Update project charter ,Update project management plan ,"Since he is a new project manager, so the communication management plan should be updated. Also, the resource management plan is a component of the project management plan. Option Update project charter is incorrect because the sponsor who can update or modify the project charter according to PMBOK. ",,,,,,Risk,Executing,,5
538,You are project manager and working with your customers on completing deliverables in seaport project. Which of the following stakeholders can modify and make changes in the project charter? ,The project customer ,All stakeholders ,The team members ,The project sponsor ,"The sponsor is the only person who can modify and make changes In the project charter. [PMBOK 6th edition, Page 114]",,,,,,Integration,Closing,,5
412,A project manager is in the process of identifying the likely stakeholders on a project and their interests in the project. The project manager has just compiled a list of potential stakeholders' names. What should the project manager do next? ,Conduct kick-off meeting to inform and engage stakeholders and gain commitment ,Develop the scope management plan ,Develop the stakeholder engagement plan ,Conduct stakeholder analysis ,"The question suggests that the project is still in the initiation stage, with the initial iteration of the Identify Stakeholders process, and has yet to progress to project planning. At this point, the project manager has only compiled a list of potential stakeholders' names. With only a list of individual and group names, the next logical step is to perform stakeholder analysis. Stakeholder analysis, an example of the data analysis technique which can be used during the Identify Stakeholder process, results in a list of stakeholders and relevant information such as their positions in the organization, roles on the project, expectations, attitudes, and their interest it information about the project. Therefore, of the available choices, conducting stakeholder analysis is what the project manager should do next.  [PMBOK 6th edition, Page 512]",,,,,,Stakeholder,Initiating,,4
520,"A project consists of 5 activities, A, B, C, D, and E. Task A begins on day 1 and will take two days to complete. Task B will take 6 days to complete and can not begin until task A is finished. Task C will take 4 days to complete, cannot begin before task A is finished, and must be completed before task D begins. Task D will take 8 days to complete and cannot begin until task B is finished. Task E will take 1 day to complete and cannot begin until task D is finished. What is the duration of the critical path? ",19 days. ,20 days. ,15 days. ,17 days ,"Path ( 1 ) A-B-E-D= 17 Days... Path ( 2) A-C-D-E= 15 Days... So The duration of the critical path is 17 days. [PMBOK 6th edition, Page 210, 211].",,,,,,Schedule,Planning,,4
535,"In your project, your project team starts testing an mechanical component created during a project, the test failed. The cost of such testing is usually classified as: ",Appraisal cost ,Internal failure cost ,External failure cost ,Appraisal and internal failure costs ,A failed test incurs both appraisal cost and internal failure cost.[PMBOK 6th edition. Page 283] ,,,,,,Quality,Monitor & Control,,5
416,"During the initiation phase, the project manager classifying a list of project stakeholders and discovers an interested stakeholder with little authority. How should manage this stakeholder? ",Keep satisfied ,Manage Closely ,Monitor ,Keep informed ,"The stakeholder is interested in the project with little authority so you will keep him informed. [PMBOK 6th edition, Page 514]",,,,,,Stakeholder,Initiating,,5
543,"You have been asked to provide Cost estimates for a project which would be responsible for the complete plumber installation in building. As a project manager, you have had past experience in similar projects in your previous organization. The organization you have joined also has recently done a similar project. There is an urgency in providing the estimate as mandated by executive management. What estimation technique would you adopt? ",Use Bottom-up Estimating ,Use Parametric Estimating technique ,Ask your previous organization for the estimates ,Use Analogous Estimating ," Analogous estimating relies on previous similar projects as the basis of estimation. So, it relies on historical information. This technique is used when there is a limited amount of detailed information like during the early phases of the project. It is less costly and less time-consuming. As time is a constraint as stated in the question, this is the best choice. [PMBOK 6th edition. Page 244].",,,,,,Cost,Planning,,4
544,You are a project manager in a manufacturing company. You want to analyze the output of a production line which manufactures piston rings. You want to determine whether the variations in the jobs are inherent to the process or if the process is in need of adjustment. Which of the following tools would be most useful? ,Trend analysis ,Pareto charts ,Statistical sampling ,Control charts ,"Control charts are a graphical display of the results over time of a process. They are used to determine if the process is in control or in need of adjustment. Control charts are used to determine whether or not a process is stable or has predictable performance. [PMBOK 6th edition, Page 304 ] ",,,,,,Quality,Monitor & Control,,4
486,"After identifying and analyzing risks you and your team start to risk response process, you find a risk which would be difficult for you to manage. You discuss the issue with management and a decision is taken to transfer the management of this risk to your Program manager. What risk response strategy is this? ",Transfer ,Mitigate ,Workaround ,Escalate ,"Risk probability assessment considers the likelihood that a specific risk will occur Risk Impact assessment considers the potential elect on one or more part slim such as schedule, cost. quality, or performance impacts will be negative for threats and positive for opportunity. [PMBOK 6th edition, Page 442].",,,,,,Risk,Executing,,4
546,One of the key stakeholder asks the project manager for a new product feature. The project manager is unsure who have the authority to approve this request. To what document should the project manager refer? ,RACI Matrix ,Change Log ,Organizational process assets ( OPA ) ,Change Management Plan ," Keyword ( authority to approve the request ) The change management plan provides the direction for managing the change control process and documents the roles and responsibilities of the change control board (CCB). RACI Matrix is used to illustrate the connections between work packages, or activities, and project team members. so the correct answer is change management plan. [PMBOK 6th edition, Page 116].",,,,,,Integration,Monitor & Control,,5
547,You are developing a budget for your airport project. You don't want to use indirect costs in determining the budget. Where should you specify the information regarding indirect costs? ,Activity Cost Estimates ,Project schedule ,Scope baseline ,Basis of Estimates ," The Basis of Estimates contains the assumptions made when dealing with inclusion or exclusion of direct or indirect costs in the project budget.[PMBOK 6th edition, Page 247] ",,,,,,Cost,Planning,,5
548,"You are in the process of executing a project that deals with laying out fiber cables connecting two cities. You have been reporting progress on a monthly basis. This month, due to unplanned vacations, many of the staff have not turned up at work. This has caused a delay in the schedule. You decide to check if the schedule variance is within the allowable threshold. What document should you refer to? ",Project Management Plan ,Project Schedule Network Diagram ,Activity Definition ,Schedule Management Plan ,"The acceptable schedule variances are defined in the Schedule Management Plan.[PMBOK 6th edition, Page 182] ",,,,,,Schedule,Planning,,5
549,This tool of the Control Quality process is used to aid organize data when performing inspections and collecting information on defects: ,Histogram ,Cause and effect diagram ,Scatter diagrams ,Check sheets ,"Check sheets are also known as tally sheets and are used to organize facts in a manner that will facilitate the effective collection of useful data about a potential quality problem. [ PMBOK 6th edition, Page 302 ] ",,,,,,Quality,Monitor & Control,,5
550,As you work to prepare your quality management plan for your project. Which of the following can help you to have an overview of the tests required to verify requirements? ,Use a checklist ,Review the Quality metrics ,Review project scope statement ,Review the requirements traceability matrix ,"The requirements traceability matrix links product requirements to deliverables and helps to ensure each requirement in the requirements documentation is tested. The matrix provides an overview of the tests required to verify the requirements. ( PM BOK Guide 6th Edition, page 280 ) ",,,,,,Quality,Planning,,4
554,Which of the following Processes should be used to implement agreed-upon risk response plans. The benefit of this process is that it ensures that agreed-upon risk responses are executed as planned? ,Plan Risk management ,Identify Risk ,Monitor Risk ,Implement Risk Responses ,"Implement Risk Responses is the process of implementing agreed-upon risk response plans. The key benefit of this process is that it ensures that agreed-upon risk responses are executed as planned to address overall project risk exposure, minimize individual project threats, and maximize individual project opportunities. [PMBOK 6th edition, Page 449] ",,,,,,Risk,Executing,,5
552,Which process ensures that the assigned physical resources are available to the project at the right time and in the right place? ,Plan Resource Management ,Acquire Resources ,Manage Tears ,Control resources ,"Control Resources is the process of ensuring that the physical resources assigned and allocated to the project are available as planned, as well as monitoring the planned versus actual utilization of resources and taking corrective action as necessary. The key benefit of this process is ensuring that the assigned resources are available to the project at the right time and in the right place and are released when no longer needed. [PMBOK 6th edition, Page 352] ",,,,,,Resource,Monitor & Control,,5
553,The business case documents the business needs and the cost-benefit analysis that justify the project. The summary of how the project has achieved the business needs identified in the business case is documented in the: ,Project WBS ,Project Scope Statement ,Project charter ,Project final report ," The summary of how the project has achieved the business needs identified in the business case is included in a project's final report. The other choices are either project initiating or planning documents. (PMBOK 6th edition, Page 128] ",,,,,,Integration,Closing,,4
107,During a presentation to CEO you want to display the project schedule with only the key deliverables displayed. What is the best tool help you with this? ,Critical chain diagram ,Control chart ,Critical path method ,Milestone chart ,"Milestone chart using with senior management. A milestone chart displays only the key deliverables and is simple and easy to understand. [PMBOK 6th edition, Page 218] ",,,,,,Schedule,Executing,,5
77,A project manager is spending most of the project funding in the current phase of the project. The manager is also managing various resources in the project. What is the stakeholder influence on the project now compared to earlier phases?,Cannot be determined,More,Same,Less,"Since the project manager is spending most of the money and managing resources, he or she is currently in the execution phase of the project. Spending levels reach a maximum in the execution phase. Stakeholder influences on the project decrease over the life of the project. Hence, stakeholder influence is now less than in previous phases. [PMBOK 6th edition, Page 549]",,,,,,Stakeholder,Executing,,5
556,"You are construction manager and meeting with the seller's project manager to review their construction work. In this review, your focus is on the deliverables and a site walkthrough. What is this known as? ",Performance review ,Earned value analysis ,Audit ,Inspection ,"This is an inspection. An inspection is a structured review of the work being performed by the contractor. This may involve a simple review of the deliverables or an actual physical review of the work itself. On a construction/engineering/infrastructure project, inspections involve walkthroughs of the site by both the buyer and the contractor to ensure a mutual understanding of the work in progress. Ina performance review, resources, cost, schedule, and quality will be reviewed. Audits are related to the procurement process.[PMBOK 6th edition, Page 498] ",,,,,,Procurement,Monitor & Control,,4
557,"You are project manager managing a heavy equipment manufacturing project. During the execution phase, an unexpected issue occurred and need to procure a new piece of machinery. As a project manager, from where may the necessary funds be obtained? ",Contingency reserve. ,Project sponsor. ,Cost Baseline. ,Management reserve. ," Keyword ( unforeseen issue ) . Management reserves are an amount of the project budget withheld for management control purposes and are reserved for unforeseen work that is within scope of the project. Management reserves are intended to address the unknown unknowns that can affect a project. [PMBOK 6th edition page, 252]",,,,,,Cost,Planning,,4
558,"The director of PMO requests from the project managers to start calculating the cost contingency reserve for the project works. As a project manager, how should you calculate contingency reserves? ",Trend analysis ,What-if scenario analysis ,Earned value analysis ,Percentage of the estimated cost ,"The contingency reserve may be a percentage of the estimated cost, a fixed number, or maybe developed by using quantitative analysis methods such as Monte Carlo Analysis, Decision Tree Analysis and EMV (Expected Monetary Value).. [PMBOK 6th edition, Page 427] ",,,,,,Risk,Planning,,5
559,"You are a project manager of a project. During the preparing and planning phase, you and your team members start identify the definition of probability of events occurring and the impact. What process is this? ",Perform qualitative risk analysis ,Identify risks ,Perform quantitative risk analysis ,Plan risk management ,"In the plan risk management process, you define the definition of risk probability and its impact. [PMBOK 6th edition, Page 407] ",,,,,,Risk,Planning,,4
560,"As a project manager, you are in the process of confirming the formal acceptance of the seller's work, finalizing open claims, Updating records to reflect final results, and archiving lessons learned recently captured about the seller's performance. Which of the following processes are you performing? ",Control Procurements ,Monitor and Control Project Work ,Conduct Procurements ,Close Project or Phase ," The scenario presented describes administrative closure activities, which occur as part of the Close Project or Phase process. While procurements are closed through the Control Procurements process, administrative closure of procurements occurs through the Close Project or Phase process. Activities related to the completion of the contractual agreements applicable to the project or project phase such as:  Confirming the formal acceptance of the seller's work, Finalizing open claims, Updating records to reflect final results, and Archiving such information for future use. [PMBOK 6th edition, Page 123] ",,,,,,Integration,Closing,,5
561,"As a project manager, in which document will you find information about Project Scope Description, Project Deliverables, and Project Exclusions? ",Stakeholder register ,Change log ,Project charter ,Scope baseline ,"Project scope description, Project deliverables and Project exclusions included in scope statement which a part of scope baseline. [PMBOK 6th edition, Page 161) ",,,,,,Scope,Planning,,4
470,"A project has been initiated that has several project stakeholders from various departments. Some stakeholders are unavailable for the facilitation meeting to discuss end-to-end processes. To satisfy their own personal agenda, the project owner requests that the meeting take place without all stakeholder's present. What should the project manager do? ",Discuss stakeholder availability with the sponsor. ,Hold a separate meeting with those stakeholders who are unavailable. ,Reschedule the meeting to accommodate all stakeholders. ,Set up a facilitation meeting without all stakeholders to obtain initial requirements. ,"Set up a facilitation meeting without all stakeholders to obtain initial requirements, then hold a separate meeting with those stakeholders who are unavailable. Option (Reschedule the meeting to accommodate all stakeholders) not correct because the project owner requests that the meeting take place without all stakeholder's present. [PMBOK 6th edition, Page 514]",,,,,,Stakeholder,Initiating,,4
563,In which of the following types of contracts does the buyer have the maximum cost risk? ,Fixed Price ,Time and Material ,Cost Plus Incentive Fee ,"Cost Reimbursable, ","In a cost-reimbursable type of contract, the buyer has the maximum risk because the total cost of the project remains unknown. This is usually used when the buyer is not able to come up with a complete contract statement of work and has limited understanding. cost-plus fixed fee is the maximum cost risk for the buyer and included in cost reimbursable contract. In a Fixed Price Contract, the buyer has the least cost risk because any additional cost over and above the negotiated price has to be borne by the seller. [PMBOK 6th edition Page, 472].",,,,,,Procurement,Planning,,4
145,A project manager begins working for a project that is already in progress. The project manager will be meeting with the project sponsor very shortly to review the project's overall scope and expected deliverables. How should the project manager prepare for the meeting? ,Review the schedule forecast,Interview project team members,Examine the Gantt chart,Review the project charter,"Since the meeting with sponsor to review (Overall scope and expected deliverables). A project manager need to prepare for the meeting by review the Project Charter which include the project's overall scope and expected deliverables. [PMBOK 6th edition, Page 523] ",,,,,,Stakeholder,Executing,,1
269,"In a project with a tight time frame, the project manager needs continuous stakeholder buy-in and input to avoid errors. Inevitably, changes occur as the project progresses. What should the project manager do? 
","Speak with management about stakeholders involvement to initiate a change in schedule expectations. 
","Provide increased project updates to stakeholders and deliver accurate change management documentation.

",Stop work before The changes cause a schedule delay and update the project schedule to reflect this. ,"Monitor and update stakeholder relationships and tailor strategies for engaging stakeholders through changes. 
","Monitor and update stakeholder relationships and tailor strategies for engaging stakeholders through changes to gain continuous stakeholder buy-in and input to avoid errors. [PMBOK 6th edition, Page.530]",,,,,,Stakeholder,Executing,,2
404,Four team members have just joined the project you are leading. The project is medium and involves many stakeholders. You want to get the new team members up to speed with the overall dynamics of the project and engage effectively with the project stakeholders. What should you do? ,Schedule a meeting with the new team members and all project stakeholders ,Submit a change request to update the stakeholder engagement plan ,Ask the team members to record any issues they encounter into the issue log ,Review the stakeholder register with the new team members ,"The stakeholder register is a project document that contains all current information about the stakeholders. The stakeholder register includes stakeholder identification information, assessment information, and stakeholder classification. It is used by the project team to maintain information about the stakeholder's expectations and interests with the project. By reviewing the stakeholder register with the new team members, the project manager can provide them with the information about each project stakeholder, politics C surrounding the project, and other relevant details about the project and the stakeholders that may help the new team member. [PMBOK 6th edition, Page 514]",,,,,,Stakeholder,Executing,,3
567,"As project manager managing project, You are in the process of finalizing all activities for the project, phase, or contract. Which of the following documents include information about Objectives of Scope, Quality and Cost and the criteria used to evaluate them? ",Risk Register ,Project Charter ,Scope Management Plan ,Final Report ," Final Report includes information about Objectives of Scope, Quality and Cost and the criteria used to evaluate them. [PMBOK 6th edition, Page 127] ",,,,,,Integration,Closing,,4
568,"As project manager managing project, in which of the following estimating technique that uses a statistical relationship between historical data and project parameters to calculate the activity duration? ",Three-Point estimating ,Bottom-up estimating ,Top-down estimating ,Parametric estimating ,"Parametric estimating is an estimating technique in which an algorithm is used to calculate cost or duration based on historical data and project parameters. Parametric estimating uses a statistical relationship between historical data and other variables (e.g., square footage in construction) to calculate an estimate for activity parameters, such as cost, budget, and duration. (PMBOK 6th edition, Page 200] ",,,,,,Schedule,Planning,,4
569,A project manager for a application development project has collected the work performance data and used the requirements documentation and requirements traceability matrix to generate the work performance information regarding variances in the project work compared to the baseline. What process is the project manager performing? ,Validate Scope ,Manage Quality ,Direct and Manage Project Work ,Control Scope ,"To answer this question correctly, it is important to understand how work performance data is transformed into work performance information. Work performance data is produced as a result of project execution. The work performance data can then be analyzed during various controlling processes to produce work performance information (see the image below). Work performance information is only produced as an output during the Monitoring and Controlling Process Group. In this scenario, the question suggests that a variance analysis has been performed using work performance data in order to' produce work performance information. Thus, it can be concluded that the process underway is part of the Monitoring and Controlling Process Group, and the two answer choices representing executing processes can be eliminated. Both the Validate Scope and Control Scope processes produce work. [PMBOK 6th edition, Page 170 ].",,,,,,Scope,Monitor & Control,,3
570,Your project sponsor has specified that you have to consider the external limitations during the develop schedule process. This is an example of: ,Assumptions ,Regulations ,Standards ,Constraints ,"The external limitation is an example of Constraints [PMBOK 6th edition, Page 207].",,,,,,Schedule,Planning,,5
411,You are a project manager of a company and you are in the implementation phase. The commercial authorities sent a notice to the project manager to stop work. What should the project manager have done to avoid this? ,Identified project risks ,Defined a detailed scope of work. ,Developed a detailed project management plan. ,Identified stakeholders. ,"To prevent this situation, the project manager should identify all the stakeholders that can impact the project. [PMBOK 6th edition, Page 524]",,,,,,Stakeholder,Executing,,4
572,"A Project Manager is in the process of preparing a plan that documents how the procurement process will be managed: from developing procurement documents to contract closure. She is also going through project requirements and scope documents with the team and discussing different contract types to decide the one most suitable for the project. According to you, which process of procurement management is the Project Manager in? ",Conduct Procurements ,Control Procurements ,Close Procurements ,Plan Procurement Management ,"The Project Manager is in the 'plan procurement management' process, and she is preparing the procurement management plan with her team. Contract types are also important tools of this process, which is carried at the planning stage of the project. [PMBOK 6th edition, Page 466] ",,,,,,Procurement,Planning,,5
573,You are a project manager for a application design project. Which of the following data representation techniques that can be used in understanding and estimating the cost of quality for a process? ,Logical data model ,Matrix diagrams ,Prioritization matrix ,Process maps ,"Flowcharts are also referred to as process maps because they display the sequence of steps and the branching possibilities that exist for a process that transforms one Or more inputs into one or more outputs. Flowcharts may prove useful in understanding and estimating the cost of quality for a process. [PMBOK 6th edition, Page 284] ",,,,,,Quality,Planning,,5
441,"During the development phase of an IT implementation project, the client refuses to grant the project team access to their database. Since this is essential for configuration of the application, the project deliverables could be impacted. What should the project manager do next? ",Discuss it with the project team and update the project schedule. ,Review the project statement of work (SOW) ,Log it in the risk register. ,Update the issue log and meet with the client to review. ,"Since the client refuses to grant the project team access to their database this is an issue and the project manager should first update the issue log and meet with the client to review and solve it. [PMBOK 6th edition, Page 523] ",,,,,,Stakeholder,Executing,,5
575,A large construction project for a logistics company will require the expenditure of a large amount of capital. The finance group works with the project manager to project set limits when expenses will be incurred in a given project and to determine whether there are ways to smooth out or level the spending to avoid a single large expenditure in one quarter and none in the next. This is an example of:,Levelized Billing,A financial review,Rescheduling,Funding Limit Reconciliation,"Large variations in the periodic expenditure of funds are usually undesirable for organizational operations. Therefore, the expenditure of funds is reconciled with the funding limits set by the customer or performing organization on the disbursement of funds for the project. [PMBOK 6th edition, Page 253] ",,,,,,Cost,Planning,,5
576,Calculation of late finish dates and late start dates for the uncompleted portion of the project is called.,Schedule compression,An arrow diagram,A forward pass,A backward pass,"Calculation of late finish dates and late start dates for the uncompleted portion of the project is called a backward pass. [PMBOK 6th edition, Page 210]",,,,,,Schedule,Planning,,4
577,"While rating a proposal, one of the requirements was: ""The proposed project manager needs to be a certified Project Management Professional, PMP?"" This is an example of:",Constraints,Assumptions,Good practice,Source Selection Criteria,"This is an example of source selection criteria used to rate or score proposals. [PMBOK 6th edition, Page 478]",,,,,,Procurement,Planning,,4
578,"A decision tree is a Perform Quantitative Risk Analysis technique. A decision tree is represented by a Decision Tree Diagram. The decision tree describes a situation under consideration, the implications of each of the available choices, and the possible scenarios. A Decision Tree Diagram shows how to make a decision among alternative capital strategies known as:",Alternative nodes,Question points,Checkpoints,Decision nodes,"The decision points are known as Decision nodes. The decision tree incorporates the cost of each available choice, the possibilities of each of the available choices, and possible scenarios. It shows how to make a decision among alternative capital strategies (decision nodes) when the environment is not known with certainty. [PMBOK 6th edition, Page 435]",,,,,,Risk,Planning,,5
579,Which of the following processes deals with maintaining the integrity of baselines by releasing only approved changes for incorporation into the project management plan?,Direct and Manage Project Work,Develop Project Management Plan,Monitor and Control Project Work,Perform Integrated Change Control,"Maintaining the integrity of baselines is done in the Perform Integrated Change Control process. This process is conducted from project inception through project completion. [PMBOK 6th edition, Page 113]",,,,,,Integration,Monitor & Control,,4
461,"During the execution phase, the project owner left the project and a new sponsor has been assigned. What should you do next? ",Update RACI Chart ,Update the Project Management Plan ,Update Stakeholder Engagement Plan ,Update the stakeholder register ,"When identifying a new stakeholder during the project, the First step is to update the Stakeholder register. [PMBOK 6th edition, Page 529]",,,,,,Stakeholder,Executing,,1
581,"In projects where there is a gap between the real business requirements and the stated business requirements, agile methods are extremely helpful. Agile methods provide a solution to this problem by:",Completing the project quickly so that gap is significantly reduced.,Replacing the project manager with a Scrum master in order to ex the project.,Eliminating the documentation altogether from the project manage approach.,Purposefully building and reviewing prototypes and release version refine requirements.,"Agile methods purposefully build and review prototypes and release versions in order to refine the requirements. As a result, scope is defined and redefined throughout the project. [PMBOK 6th edition, Page 133] [Prof. Responsibility]
",,,,,,Scope,Planning,,5
582,"Ahmad is the project manager for a shopping mall construction project which is in its fourth month of execution. According to the project contract, Ahmad can only issue project invoices when the project is 25%, 50%, 75% and 100% complete in terms of the approved project schedule. Recently the 25% milestone has been reached and Ahmad is ready to issue his first invoice. According to the contract, the project must be completed in 12 months. What is the project?s SPI?",0.25,0.33,1.33,0.75,"Since the 25% schedule milestone has been achieved, the project?s earned schedule (ES) is 25%. Further the project is in its third month of execution so the actual time is 33.33% (i.e. 4 months / 12 months). 
SPI = ES / AT = 25% / 33.33% = 0.75
[PMBOK 6th edition, Page 233] ",,,,,,Schedule,Monitor & Control,,5
583,Visiting a construction site to ensure the completed work is the same work specified in the requirements is:,Milestone,Variance Analysis,Requirements traceability,Scope validation,"Inspection is a scope validation technique that includes activities (such as measuring, examining, and verifying) to determine whether work and deliverables meet requirements and product acceptance criteria. [PMBOK 6th edition, Page 163] ",,,,,,Scope,Monitor & Control,,5
584,"While reviewing project procurement and accounting records for your project, you discover there is a pattern of unauthorized expenses by a specific resource. These expenses are not within the scope of the project and were somewhat camouflaged within a number of large and complicated expense reports. What do you do?",If the total expenses are less than 1% of the project budget do nothing,Fire the resource,Confront the resource,Notify the appropriate management immediately,"Notify the appropriate management of the unauthorized expenses. Project managers are required by PMI's Code of Ethics to report any unethical or illegal behaviors or activities to the appropriate management. Not doing so violates the PMI code. [PMI Code of Ethics and Professional Conduct] [Prof. Responsibility] [PMBOK 6th edition, Page 492] ",,,,,,Procurement,Monitor & Control,,5
585,A project to design and build a new building is canceled after the project has been underway for some time. What process is employed to document what work was done and to what extent it was completed?,Validate Scope,Control Scope,Control Quality,Close Project or Phase,"If the project is terminated early, the Close Project or Phase process should establish and document the level and extent of completion. [PMBOK 6th edition, Page 121] ",,,,,,Integration,Closing,,5
514,"During the initiation phase, the project manager classifying a list of project stakeholders and discovers an interested stakeholder with certain authority. How should the project manager manage this stakeholder? ",Keep satisfied ,Manage Closely ,Monitor ,Keep informed  ,"It's Important for the real exam. The stakeholder Is interested in the project with little authority so you will keep him Informed. [PMBOK 6th edition, Page 512]",,,,,,Stakeholder,Executing,,5
587,A Work Breakdown Structure is a hierarchical illustration of all the work to be done in a project. A WBS component does not represent:,Products,Results,Services,Project activities,"Upper level WBS components are decomposed into more easily managed elements and can be process- or product-oriented. The lowest level of the WBS is the work packages. The project activities are obtained by further decomposing the work packages. The activities become a part of the project schedule and not the WBS. [PMBOK 6th edition, Page 156]",,,,,,Scope,Planning,,4
588,Which of the following is not a Risk Diagramming technique?,Influence diagrams,Decision trees,Tornado diagram,Control charts,"The business case for any project includes the analysis of the situation, recommended solution and Identification of alternative solutions. [PMBOK 6th edition, Page 395] ",,,,,,Risk,Planning,,4
589,The Cost of Quality principle includes:,The costs involved when changes are made to the requirements,The cost of deploying a project Configuration Management System,The costs associated with eliminating requirements,The costs of ensuring conformance to requirements,"Quality costs are the total costs incurred by investment in preventing nonconformance to requirements, appraising the product or service for conformance to requirements, and failing to meet requirements (rework). [PMBOK 6th edition, Pages 240] ",,,,,,Cost,Planning,,4
